,Project_ID,Organization,Project_start_date,Project_end_date,Organization_size,IT_dpt_size,Customer_type,Estimated_Duration,Actual_Duration,Project_Profit_Loss_percent,Project_type,Development_type,Estimated_effort,Management_clarity,Training_effort,User_resistance,Software_licence_cost,hardware_cost,Development_cost,maintainance_cost,Additional_cost,Estimated_total_cost,Requirement_stability,Manager_experience,Development_team_experience,Maintanainance_support_team_experience,Machine_learning_team_experience,Data_Analysis_team experience,Team_size,Daily_work_hours,Level_of_outsourcing,Software_availability,Software_accuracy,Software_stability,Cloud_platform_type,Computing_Tier,Programming_language_used,DB_used,Open_source_tool_used,Degree_of_software_reuse,Increase_in_productivity,Change_in_waiting_time,Change_avg_wait_time,Change_avg_call_duration,Change_in_revenue
0,0,Company_4,2021-06-27,2023-12-22,4.0,3.6,4,906.8,418.0,28.06847102541931,Machine Learning chatbot,Scrum,32771.2,7.0,11091.388302284597,2.0,2257.0,3649.0,7.48,1401.1024,515.8,75322.45479452054,2.0,7.0,3.0,6.0,10.0,7.0,15.6,8,1.48,95,87.244,75,Salesforce,T3,Java,MongoDB,T3,4,49,-4,-4,-42,16
1,1,Company_6,2019-10-25,2020-08-17,5.0,6.0,6,295.5,399.0,25.20959761063955,Hybrid model,Waterfall,44688.0,5.0,12415.779535811966,2.0,1584.0,3724.0,7.6,1878.088,469.0,70356.05260273973,5.0,11.0,7.0,7.0,9.0,7.0,22.0,8,4.6,75,92.28,95,IBM,T5,Java,Oracle,T4,5,93,-46,-46,84,69
2,2,Company_2,2020-04-29,2021-08-26,4.0,6.6,2,482.8,672.0,15.048925277718126,Keyword recognition-based,Lean,22579.199999999997,7.0,7194.8600520032305,3.0,2460.0,3399.0,7.48,1277.1024,487.8,118014.98301369861,5.0,8.0,5.0,11.0,6.0,11.0,7.6,8,2.48,85,87.244,70,Oracle,T2,R,MySQL,T3,6,56,84,84,-68,70
3,3,Company_4,2021-09-22,2024-06-13,3.0,3.2,4,994.1,485.0,58.530599368389815,Voice Bots,Scrum,38024.0,6.0,9372.555981201338,2.0,1600.0,3760.0,7.36,1638.1168,508.6,83868.59178082191,5.0,7.0,6.0,7.0,10.0,6.0,15.2,8,1.3599999999999999,80,67.208,75,AWS,T1,ASP.Net,PLSQL,T5,6,21,-89,-89,2,-62
4,4,Company_2,2021-08-03,2024-03-05,5.0,7.0,2,943.5,265.0,34.83461214878121,Voice Bots,Lean,8904.0,6.0,2251.018182487779,2.0,1950.0,3419.0,7.6,1522.088,455.0,44843.22739726027,3.0,4.0,2.0,9.0,4.0,7.0,8.0,8,2.6,80,67.28,75,GCP,T4,ASP.Net,PLSQL,T5,6,15,-44,-44,-99,-3
5,5,Company_4,2021-04-16,2023-07-31,4.0,3.6,4,834.8,65.0,35.650626425859926,Keyword recognition-based,Feature-Driven,5096.0,6.0,1272.7408124894314,2.0,1950.0,3095.0,7.48,1523.1024,604.8,10740.49315068493,3.0,7.0,8.0,8.0,6.0,4.0,15.6,8,1.48,85,87.244,70,GCP,T3,R,MySQL,T3,6,34,-63,-63,-34,-65
6,6,Company_6,2020-02-22,2021-04-14,5.0,6.0,6,415.5,610.0,45.01749998263226,button-based,Waterfall,68320.0,4.0,21236.047561594176,2.0,2001.0,3274.0,7.6,1585.088,412.0,102185.19452054793,1.0,7.0,6.0,6.0,4.0,8.0,22.0,8,4.6,85,92.28,80,AWS,T1,Python,Oracle,T1,6,64,-76,-76,-33,76
7,7,Company_5,2019-03-30,2019-06-26,4.0,6.6,5,86.8,511.0,70.9767973879892,Voice Bots,Waterfall,125910.4,6.0,41417.65455142304,2.0,2171.0,3262.0,7.48,1451.1024,570.8,87753.12,3.0,8.0,8.0,4.0,7.0,9.0,45.6,8,5.48,80,67.244,75,IBM,T3,ASP.Net,PLSQL,T5,6,54,-51,-51,-57,85
8,8,Company_3,2019-10-28,2020-08-23,4.0,5.6,3,298.8,363.0,43.706692490260764,Keyword recognition-based,Agile,24393.6,4.0,7666.249032456797,2.0,2511.0,3615.0,7.48,1724.1024,602.8,70674.60821917807,3.0,6.0,5.0,11.0,7.0,9.0,13.6,8,3.48,85,87.244,70,Azure,T1,R,MySQL,T3,6,97,-72,-72,71,-32
9,9,Company_1,2019-10-07,2020-07-12,4.0,3.6,1,277.8,434.0,64.00767028643757,button-based,Feature-Driven,58329.6,6.0,18645.515111793524,2.0,2105.0,3142.0,7.48,1256.1024,412.8,69146.54465753425,4.0,7.0,9.0,5.0,4.0,6.0,25.6,8,5.48,85,92.244,80,Oracle,T5,Python,Oracle,T1,6,77,91,91,21,55
10,10,Company_4,2022-07-07,2026-01-10,3.0,3.2,4,1282.1,486.0,12.224490252284728,Hybrid model,Lean,38102.399999999994,7.0,11127.160416629788,2.0,1823.0,3832.0,7.36,1820.1168,527.6,89589.10684931507,3.0,7.0,7.0,7.0,8.0,6.0,15.2,8,1.3599999999999999,75,92.208,95,GCP,T1,Java,Oracle,T4,5,3,-29,-29,58,-45
11,11,Company_5,2020-01-06,2021-01-10,3.0,6.2,5,369.1,480.0,10.65713053637132,Voice Bots,Extreme Programming,118271.99999999999,5.0,34146.08193771049,2.0,1465.0,3502.0,7.36,1308.1168,506.6,74995.2,1.0,7.0,9.0,9.0,7.0,11.0,45.2,8,5.36,80,67.208,75,AWS,T1,ASP.Net,PLSQL,T5,6,26,-82,-82,-33,12
12,12,Company_5,2022-12-19,2026-12-06,4.0,6.6,5,1446.8,501.0,38.93903512490881,Keyword recognition-based,Scrum,123446.4,6.0,30893.734387587334,2.0,2953.0,3360.0,7.48,1417.1024,418.8,94037.56273972603,2.0,5.0,6.0,8.0,9.0,6.0,45.6,8,5.48,85,87.244,70,Oracle,T3,R,MySQL,T3,6,85,2,2,75,54
13,13,Company_3,2021-07-23,2024-02-12,5.0,6.0,3,932.5,459.0,28.366584464610447,button-based,Feature-Driven,30844.8,6.0,9764.20190406396,2.0,2015.0,3366.0,7.6,1310.088,480.0,75823.27890410958,2.0,5.0,8.0,5.0,6.0,7.0,14.0,8,3.6,85,92.28,80,Salesforce,T3,Python,Oracle,T1,6,81,-3,-3,38,77
14,14,Company_6,2021-02-28,2023-04-28,4.0,5.6,6,787.8,137.0,57.32256275480621,Voice Bots,Agile,15343.999999999998,5.0,4480.625402802481,2.0,2275.0,3510.0,7.48,1529.1024,524.8,24737.470684931508,4.0,6.0,2.0,10.0,5.0,4.0,21.6,8,4.48,80,67.244,75,Salesforce,T1,ASP.Net,PLSQL,T5,6,90,91,91,-68,-27
15,15,Company_4,2021-04-12,2023-07-23,3.0,3.2,4,831.1,378.0,35.04257076987178,Hybrid model,Feature-Driven,29635.199999999997,6.0,7247.786128643774,2.0,2152.0,3336.0,7.36,1428.1168,440.6,64060.74739726027,3.0,8.0,5.0,9.0,9.0,9.0,15.2,8,1.3599999999999999,75,92.208,95,AWS,T1,Java,Oracle,T4,5,38,-16,-16,-54,22
16,16,Company_1,2021-01-05,2023-01-10,6.0,4.4,1,733.2,368.0,51.23513289124199,Machine Learning chatbot,Feature-Driven,49459.2,5.0,10677.21731175861,1.0,2236.0,3039.0,7.72,1455.0736,512.2,61392.078904109585,1.0,5.0,6.0,7.0,8.0,6.0,26.4,8,5.72,95,87.316,75,IBM,T4,Java,MongoDB,T3,4,29,-66,-66,47,88
17,17,Company_6,2020-05-21,2021-10-09,3.0,5.2,6,505.1,145.0,40.25536395605863,Linguistic Based,Agile,16239.999999999998,6.0,4944.8037280187955,2.0,2589.0,3364.0,7.36,1432.1168,468.6,26232.04931506849,3.0,7.0,7.0,4.0,9.0,6.0,21.2,8,4.36,90,74.208,82,IBM,T4,Python,MySQL,T2,7,31,-71,-71,-83,-30
18,18,Company_1,2019-12-04,2020-11-05,4.0,3.6,1,335.8,262.0,43.96728681542601,Machine Learning chatbot,Extreme Programming,35212.799999999996,7.0,8807.03587545515,2.0,2188.0,3440.0,7.48,1345.1024,506.8,45143.53315068493,3.0,8.0,6.0,5.0,6.0,4.0,25.6,8,5.48,95,87.244,75,IBM,T4,Java,MongoDB,T3,4,67,6,6,2,90
19,19,Company_6,2021-02-24,2023-04-20,3.0,5.2,6,784.1,615.0,37.586191846138014,Voice Bots,Lean,68880.0,5.0,19732.345723854884,2.0,1657.0,4279.0,7.36,1270.1168,477.6,108853.98904109589,4.0,9.0,9.0,10.0,7.0,8.0,21.2,8,4.36,80,67.208,75,AWS,T3,ASP.Net,PLSQL,T5,6,86,-12,-12,-43,94
